depth	dens	GR	Vp	Vs
880	2.5072	71.8898	2984.2212	1368.8657
880.25	2.4996	73.0446	3017.5068	1390.9037
880.5	2.4946	77.9084	3110.647	1426.4586
880.75	2.4928	79.5323	3140.1648	1468.8558
881	2.5199	82.8057	3160.2432	1516.1896
881.25	2.5295	79.8341	3184.8115	1537.2839
881.5	2.4862	82.4443	3193.5496	1551.988
881.75	2.447	82.2287	3180.7432	1551.1273
882	2.4378	82.7752	3154.4785	1540.2151
882.25	2.4473	84.5526	3117.2371	1537.1167
882.5	2.456	81.4534	3076.2769	1514.2018
882.75	2.4504	84.8386	3036.2397	1482.3058
883	2.4556	82.8662	3006.4482	1443.6168
883.25	2.4804	84.1186	2989.7178	1430.4735
883.5	2.4689	91.3393	2979.136	1426.3226
883.75	2.4426	91.5966	2975.5996	1401.1163
884	2.4444	87.1157	2960.3472	1388.6665
884.25	2.4588	86.3007	2955.751	1348.5177
884.5	2.4645	85.3577	2971.2827	1323.0845
884.75	2.4458	85.8803	2947.4116	1323.1643
885	2.4481	87.7413	2931.3596	1340.6219
885.25	2.4384	85.0565	2920.167	1333.4504
885.5	2.4245	87.4419	2910.0442	1319.5786
885.75	2.4279	90.1458	2900.426	1345.0624
886	2.4158	92.0173	2927.2986	1296.8038
886.25	2.4241	89.7203	2981.019	1327.939
886.5	2.4733	89.799	3070.0271	1391.9609
886.75	2.5568	91.6377	3236.5979	1491.121
887	2.6133	86.7269	3688.8474	1569.9081
887.25	2.5914	84.4669	3790.1021	1697.3177
887.5	2.5579	92.3085	3761.4148	1825.9208
887.75	2.5413	97.5517	3670.917	1838.187
888	2.5717	90.7308	3576.627	1791.3339
888.25	2.6324	83.5197	3570.6672	1744.4398
888.5	2.6127	90.072	3593.1689	1722.1832
888.75	2.5656	100.6527	3661.0679	1710.2225
889	2.5627	102.3924	3877.9819	1784.8643
889.25	2.5772	100.8907	3995.5764	1968.676
889.5	2.6147	99.1746	4060.8442	2094.3899
889.75	2.6207	100.6236	4105.9067	2145.5442
890	2.6	99.2073	4073.2891	2178.136
890.25	2.5858	95.3171	4048.2083	2198.9961
890.5	2.5589	94.052	4016.4453	2204.7869
890.75	2.5225	92.5594	4002.6523	2202.446
891	2.5001	89.2283	3964.9807	2185.5632
